sentence	is_actionable
Please update your morning sheet with new AN52's.	Actionable
Store number varies because of installation hurdles face at small percent.	Non-Actionable
AcceptedColleen Sullivan -	Non-Actionable
Please stick him on John Please put me on the trading track interview schedule for this afternoon.	Actionable
Read how Jeff would solve the problems in California and apply in our project.	Actionable
----------------------	Non-Actionable
Phillip K Allen -	Non-Actionable
I am not prepared to pay more than 2.7 for sagewood yet.	Non-Actionable
1.  Check 1406	Non-Actionable
After reviewing the  agreement?I find it isn't binding as far as I can determine.?	Non-Actionable
Please assist in determining pricing quotes for customers.	Actionable
Join my husband at his officer's meeting in San Antonio.	Actionable
Let me know what curve the following deals are being marked against.	Actionable
Please join us on Saturday, April 15th to explore this incredible p.m.	Actionable
60+mpg	Non-Actionable
Coordinate with UI Programmer to strategize and execute user interfaces.	Actionable
No ResponseAllan Severude -	Non-Actionable
Murelio, select some of the best new products in the industry and present them to you in our Product Showcase.	Actionable
Heather, please check the sections you noticed before and see if they are okay this time.	Actionable
Go through the list of requests to determine which are in scope for this project and which fall out of scope.	Actionable
At  2.7 MM, my bid is .70	Non-Actionable
Get the kind of information you need to make sound investment decisions.	Actionable
Investigate and review the California crisis.	Actionable
Darren, Please review the names below and let me know that there are any other names that need to be added or subtracted from your group for PRC purposes.	Actionable
What needs to happen on Monday from 3 - 5 is a effort to design a desired layout for the consolidated position screen, this is critical.	Non-Actionable
Please let me know that you received this email, so that we can assign the next task.	Actionable
64.216.90.105	Non-Actionable
Please review the enclosed and advise of any additional comments.	Actionable
"To: ""Phillip Allen"" <pallen@enron.com>cc: ""Larry Lewter"" <retwell@mail.sanmarcos.net>, ""Diana Zuniga"" <invest@bga.com>"	Non-Actionable
Please verify which rate should be using in billing EES.	Actionable
Let's make sure to document any changes in DMS.	Actionable
Araceli Romero/NA/Enron@Enron, Kimberly Hillis/HOU/ECT@ect	Non-Actionable
Please call Mark Gershon to discuss the attached.	Actionable
>	Non-Actionable
Cindy Cicchetti	Non-Actionable
please let me know when you get chance.	Actionable
Please let me know what time you will be out of the office for the month of November.	Actionable
Let me know at your convenience, so we can plan accordingly.	Actionable
As best can we will try not to overlap on accounts.	Non-Actionable
Please contact Chrysti Hardy to add their names into the group this week.	Actionable
Big Box Retail Sales	Non-Actionable
Manage your list subscription for this or other ListBot lists.	Actionable
Go through the list of requests to determine which are in scope for this project and which fall out of scope.	Non-Actionable
Make note of the deal number in the Service List of the Service contract that you were using in the new path.	Actionable
Josh and John give an illustrated tour of the stuff you had to be there to believe.	Actionable
is:	Non-Actionable
Make HTML CSS and JavaScript to work well across browser platforms.	Actionable
This is especially attractive when the project is in a market as strong asAustin and we are introducing new product that in a very low price range forthis market.	Non-Actionable
Jeff, I received the rent roll.	Non-Actionable
please get me schedule of my oustanding options and restricted stock including grant price and vesting dates.	Actionable
Phillip K Allen/HOU/ECT	Non-Actionable
"""George Richards"" <cbpres@austin.rr.com> on 09/26/2000 01:18:45 PM"	Non-Actionable
Let's meet in the morning and discuss the LOI.	Actionable
Throughout the meeting on Wednesday, Keith alluded to the inability to get consensus amongst the traders on the presentation of the consolidated position, so the solution was to make it so that a trader can arrange the position screen to their liking (much like Excel).	Non-Actionable
_	Non-Actionable
The lot improvement loan is typically 75% of the appraised value of afinished lot, which I suspect will be at least $20,000 and potentially ashigh as $25,000.	Non-Actionable
Please find and forward this to whoever in the Pipeline group does transport, especially Oasis.	Actionable
Follow up with Frank Hosak to make sure that it is on the items to be discussed this coming Wednesday.	Actionable
George, Please send the latest cost estimates when you get chance this morning.	Actionable
I will be out of the office on Friday.	Non-Actionable
We expect to have up to 8 spec loans tostart the project and expect all other loans to be pre-sold units with loansin the name of the builder/developer.	Non-Actionable
Please welcome our new employee, Gabriela and show her the job resposibilities.	Actionable
To:      5:00 PM	Non-Actionable
cc:	Non-Actionable
Subject:	Non-Actionable
<cbpres@austin.rr.com> on 09/08/2000 05:21:49 AM	Non-Actionable
Also, I need you to update the unit serial numbers if you'd like them included in the agreement.	Actionable
Please check this out and provide some comments related to new features from last month's report.	Actionable
Third, is a pre-sold unit with the constructionloan in the name of the buyer.	Non-Actionable
What are your normal work hours?	Non-Actionable
Also Rika please consider gather couple of your powerusers and we can review this app for other refinements.	Actionable
Anne please look into this issue and clear it for Doug.	Actionable
Publish that Enron's offices will be closed in observance of Martin Luther King Day this coming Monday, January 21.	Actionable
Robert, please check on this with the TCO schedulers and let me know what you find out.	Actionable
Rogers Please give the names of the plants effected ASAP.	Actionable
Pay down debts by way of rate hike effective March 27.	Actionable
Talk with Kay Mann regarding expansion of Kilpatrick's scope to define these processes zoning, annexation, and conditional use permitting for us.	Actionable
Please advise Rika Rika, defer required reactor vessel head penetration inspections to their April 2002 refueling outage.	Actionable
Execute debug, test software modules and update the results.	Actionable
To Do listFrom our initial set of meetings with the traders regarding consolidated positions	Non-Actionable
Ability to view change deal P&L in the TDS deal ticker.	Non-Actionable
Get Allyson to define the schedule going forward including potential hurdles.	Actionable
2005.	Non-Actionable
Meeting Dates:	Non-Actionable
Please set up meeting for this afternoon and invite the following people.	Actionable
Please find the most recent version of the CA Development Agreement and Exhibits as well as blackline against the version circulated on December 4.	Actionable
There is nothing like having your wife incapacitated to realizethe enormous number of things she does everyday.	Non-Actionable
These fees are the only monies to Creekside, Larry Lewter or myself prior tocalculation of profit, except for a) direct reimbursement for partnershipexpenses and b) direct payment to CB for any subcontractor costs that it hasto perform.	Non-Actionable
<cbpres@austin.rr.com>	Non-Actionable
NO	Non-Actionable
Please check back with this site for future updates on plans for the new trading platform.	Actionable
This meeting repeats	Non-Actionable
Tim, please set up meeting and we can discuss.	Actionable
Please summarize for us the status of the report sent recently in the meeting.	Actionable
>	Non-Actionable
>	Non-Actionable
No Response	Non-Actionable
_	Non-Actionable
>	Non-Actionable
Please send out an adjustment for the decrease to New Power.	Actionable
Richard BurchfieldSent by:	Non-Actionable
Currency and volume uom conversions.	Non-Actionable
We have included a fence around the entire property, but mayonly put it on Westgate and Cameron Loop.	Non-Actionable
Please organize incoming claims data for effective retrieval.	Actionable
Learn how our clients get the best results and receive the most professional care in the investment world today, to help our company.	Actionable
10/04/2000 12:23 PM	Non-Actionable
Also, please check to see if date for offsite has been set and reschedule that to next week.	Actionable
kholst@enron.com)	Non-Actionable
Phillip	Non-Actionable
I will go back to mine and Phillip Allen's  transaction?and take a look at	Non-Actionable
Russ Severson/HOU/ECT	Non-Actionable
Take look at the document and let me know what you think.	Actionable
Pan American Frwy	Non-Actionable
Ask LT to help on this and carefully consider your financial position before trading.	Actionable
Maintain and update filing system for all incoming data and prepare database for all researchers.	Actionable
Search the archives of the Los Angeles Times for similar stories.	Actionable
please use the Lotus Notes calendar to set up an appointment with me at your convenience during the week.	Actionable
August	Non-Actionable
With a land value equal to the purchaseprice of $680,000 this would mean a land loan of $476,000 with estimatedmonthly interest payments of $3,966, given a 10% annual interest rate, plusapproximately 1.25% of the loan amount for closing costs and loan fees.	Non-Actionable
Cindy Cicchetti	Non-Actionable
static IP address	Non-Actionable
Detailed description:----------------------	Non-Actionable
Gas Physical/Financial Position	Non-Actionable
Kevin, Let me know your availability and whoever else you think needs to interview him and can setup phone interviews.	Actionable
OK Let's make sure that Presto, Tycholiz, Whitt, Lucci, Kerigan, and Proffit are either signed or will never sign by the end of this month.	Actionable
Please note the email sent to Virginia below requesting additional information for this meeting.	Actionable
Thanks, Mike	Non-Actionable
Please inform all users of the Stentofon System of this change and pass this information to anyone that needs it.	Actionable
Please include Pat and Stella also in the discussion.	Actionable
please check your records to see what volume TUFCO requested for May 12th and update that in new file.	Actionable
Please let me know the date by which you would like to see them so that we can arrange our schedules accordingly.	Actionable
> 8725	Non-Actionable
505-798-6424	Non-Actionable
_	Non-Actionable
"To: ""Phillip Allen"" <pallen@enron.com>cc: ""Larry Lewter"" <retwell@mail.sanmarcos.net>"	Non-Actionable
Make changes to the pricing in deal 413462 mentioned below.	Actionable
Approve President Bush's plan to deal with the country's current energy problems.	Actionable
Andrea Dahlke and Wiese has to confirm through email that both of you understand the REC situation for Green Mountain.	Actionable
I tried to get a  real estate atty on the phone last night	Non-Actionable
Thisproperty will have the best location for student housing of all newprojects, just as the duplexes do now.	Non-Actionable
Please develop and manage daily paperwork for invoicing and mailing.	Actionable
For 6-8 hours a day	Non-Actionable
2929	Non-Actionable
Please change the following deals to evergreen in every season.	Actionable
Here is our forecast	Non-Actionable
please let me know who is handling this pricing issue	Actionable
Check with your SME's for additional candidates.	Actionable
Please prepare verification environment as well as plans for mixed-signal blocks utilizing Cadence AMS.	Actionable
>	Non-Actionable
"""George Richards"""	Non-Actionable
> Gas price required:	Non-Actionable
If fact, please review the confidentiality provisions in the GE agreement so that we can discuss same.	Actionable
The initial investment is used for land deposit, engineering &architectural design, soils tests, surveys, filing fees, legal fees fororganization and condominium association formation,  and appraisals.	Non-Actionable
Phillip Allen	Non-Actionable
See the last home games for just $74 Hurricanes Host Mountaineers Thursday, October 25.	Actionable
_	Non-Actionable
John, Denver's short rockies position  beyond 2002 is created by their Trailblazer transport.	Non-Actionable
09/11/2000	Non-Actionable
Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 02:00 PM	Non-Actionable
Additionally, these trades are out of line with the associated financial swaps for San Juan.	Non-Actionable
Let me know where the differences are.	Actionable
Guys, please send me new contract when you get chance this week.	Actionable
Start: 09/28/2000	Non-Actionable
Please let me know when this has been done and will make the change asap.	Actionable
Make sure you develop process documentation and departmental procedures by next week.	Actionable
Develop interaction models and site navigation ASAP.	Actionable
"To: ""Phillip Allen"" <pallen@enron.com>cc: ""Larry Lewter"" <retwell@mail.sanmarcos.net>"	Non-Actionable
Hunter S Shively/HOU/ECT	Non-Actionable
The Lone Star gas line easement in the lower portion of the property is notexpected to impact sales significantly.	Non-Actionable
03:30 PM	Non-Actionable
Stephen, go ahead and print the tasking letter and I'll initial it.	Actionable
From (MM/DD/YY):	Non-Actionable
Please maintain and review account plans for meeting the defined targets.	Actionable
Please review for any final comments as well as you comments on allocations.	Actionable
Kay, please add this name to the Virginia list, check and eliminate the people who are working for other project.	Actionable
Detailed description:----------------------	Non-Actionable
I am going to be in San Marcos this weekend	Non-Actionable
In Schedule 2, please add an attention line to Shazia Sarker.	Actionable
If the first phase was say 40 units, the totallot improvement cost might average $31,000 per lot.	Non-Actionable
Fall back to old cpus Restore the disk layout restore to old configuration Restore the disk layout restore to old configuration FOR ASSISTANCE Hope to see you there!	Actionable
Larry Lewter knows an expert in the field in San	Non-Actionable
_	Non-Actionable
Subject:	Non-Actionable
Approve any takeover even if company directors object.	Actionable
Update the volumes as necessary and then release the deals.	Actionable
Stay on CR 101 for 0.4 miles until you see Kennedy Rd and Please add the following demand charges to the manual invoice.	Actionable
Please make sure when you select your choice that you can't expect your ballot to be recounted!!!	Actionable
In the following chart, please indicate your availability.	Actionable
A single buyer entered the marketplace on both September 26 and 27 and paid above market prices ($4.70-$4.80) for San Juan gas with the intent to distort the index.	Non-Actionable
We have also included a summary of gas daily prices to illustrate the value of San Juan based on several spread relationships.	Non-Actionable
Russell Long/HOU/ECT@ECT	Non-Actionable
Hiren, please send note to Brian Riley verifying that the GMT payment has gone out to the Houston company by the end of the day.	Actionable
Subject:	Non-Actionable
Please let me know your thoughts on the Master Firm review the attached contract.	Actionable
Please maintain broad knowledge of customer account regarding its target industry and competitors.	Actionable
Please review and inform me which is recorded accurately.	Actionable
_	Non-Actionable
We have compiled a list of financial and physical trades executed from September 25 to September 27.	Non-Actionable
Please call me as soon as we find out about the Duke board mtg results.	Actionable
Let's discuss this to figure out the best gameplan for crossing some of these off the list.	Actionable
If the investor(s) do not sign on the loans, this generally meansthat a larger amount of cash is required and the investor's share of profitsis reduced.	Non-Actionable
Microturbine run time:	Non-Actionable
Please begin working with the appropriate manager in completing the document for those individuals who have ranking of Needs Improvement or Issues for 2000 Mid Year review.	Actionable
Please ensure proper handling of all materials and store it appropriately to retrieve easily.	Actionable
Let's talk after you have had chance to review, so that we can give you more details.	Actionable
_	Non-Actionable
Shaw, maintain their business operations, which benefits the California economy.	Actionable
Chairperson:	Non-Actionable
Please let me know how to proceed with these deals.	Actionable
Please fill out the attached activity data survey with March numbers for your RC by end of day.	Actionable
Meet me at 9:00am tomorrow, Monday in my office.	Actionable
_	Non-Actionable
Please verify which price is correct.	Actionable
Check Exhibit to make sure that all parties are listed and the appropriate counsel is listed.	Actionable
Please call BPA and IPCO to make sure this schedule is still going to work.	Actionable
Also, make sure to submit your feedback in consolidated format and on the spreadsheet attached below only one feedback from each group at time instead of multiple feedbacks from different people.	Actionable
Please change the demand fee on deal from $33,239.39 to $22,159.22 and update me.	Actionable
Please schedule time to partcipate at your earliest opportunity, as this effort will be success for our group.	Actionable
Andy, Please assign user name to Randy Gay.	Actionable
Phillip K Allen/HOU	Non-Actionable
Please make every effort to make this work and let me know the status of work.	Actionable
Please, give me call Tuesday morning and shall carve out an hour from my schedule to discuss the paper.	Actionable
Please resend in excel or pdf format.	Actionable
run query and check the other deals to make sure the time zone is correct because if not they will not be scheduled correctly for April.	Actionable
Please get back to me as soon asyour schedule permits regarding the site visit and feel free to call at anytime.	Non-Actionable
There is nothing like having your wife incapacitated to realizethe enormous number of things she does everyday.	Non-Actionable
Discuss our timing for option transfer.	Actionable
I am in after 12 noon if there is any	Non-Actionable
Checks 1416, 1417, and 1425	Non-Actionable
I look forward to hearing from you and to working with youon this project that is sure to be a major winner.	Non-Actionable
Scott Mills/HOU/	Non-Actionable
09/27/2000 03:00 PM	Non-Actionable
What type of bank account?	Non-Actionable
What is more important, in my view, is a) the rental rate and b)	Non-Actionable
Subject:	Non-Actionable
Please clean up my Holdings page to net longs and shorts today.	Actionable
End: 09/28/2000	Non-Actionable
Re:	Non-Actionable
Add more to your score by stopping in and picking up hefty load of construction supplies to win.	Actionable
Jackie, make sure that the gas at this meter is allocated to stranger's in POPS.	Actionable
Kim, provide significant additional sorting functionality over the old.	Actionable
Please ask your contact if she can find phone number for Burt Shears.	Actionable
Phillip	Non-Actionable
Please pass this meeting invitation on to those relevant in the organization.	Actionable
Let me know as soon as you can so we can make sure the gas is allocated correctly for September, and so it can set it up for October if need be.	Actionable
If this?closing is going to take place without  this agreement then there is no point in me  following up on this?document's validity.? ?	Non-Actionable
Have team members sign forms and send to Bill Kendrick for Dec.	Actionable
The equity requirement is notyet known, but it would be likely to be $300,000 to secure the land.	Non-Actionable
Let me know what you guys can dig up.	Actionable
Let's make sure before our meeting that we are all in agreement as to the pricing approach we will take with them.	Actionable
Need detail breakout of commodity and transport cost firm or interru	Actionable
Please change the zone location for meters T0012 and T0A62 from North Other to South Other.	Actionable
Forwarded by Phillip K Allen/HOU/ECT on 09/25/2000	Non-Actionable
Please send me the info on Enron Compression Services that I'll need to fill in the front left side of the GISB.	Actionable
Ability to handle volatility skew and correlations.	Non-Actionable
Joann, please look at the other days and contracts and then plan perfectly for this month.	Actionable
> interruptible).	Non-Actionable
so this is a good idea for both screening and current buyerpreferences.	Non-Actionable
I believe this would facilitate the use of a1031 Exchange of the proceeds from this deal into another project that is arental deal or at least into the land for a rental project that would thenbe the equity for that project.	Non-Actionable
Please call to discuss cash award.	Actionable
Make sure to follow up with the Seller about the fireplace.	Actionable
Retail to cover market area requirments.	Actionable
Sincerely,George W. RichardsPresident, Creekside Builders, LLC - winmail.dat	Non-Actionable
Let me know your opinions or sources that can use to push for only true costs 1.4 million.	Actionable
I believe this would facilitate the use of a1031 Exchange of the proceeds from this deal into another project that is arental deal or at least into the land for a rental project that would thenbe the equity for that project.	Non-Actionable
Confirmation	Non-Actionable
Larry, Please proceed with all haste on this to complete ASAP.	Actionable
update Demand Mismatch Orders for all primary pools in AGLC areas.	Actionable
Please let me know your thoughts to execute the customer's plan.	Actionable
Please let me know when would be good time for us to speak about new features.	Actionable
Embedded StdOleLink>	Non-Actionable
Taffy, please let Ann Elizabeth know that we will reschedule the meeting.	Actionable
Please check out with TEP when you are aware of the new sink.	Actionable
It'll help determine which requests fall under the project scope.	Non-Actionable
Meeting	Non-Actionable
EB2601	Non-Actionable
Harder/Corp/Enron@Enron, Kimberly Brown/HOU/ECT@ECT,	Non-Actionable
Andrea, Please resend the first three resumes.	Actionable
Have my Dad read the memo before you put it down	Actionable
Let me know what additional information you may need.	Actionable
TJ, Please provide me with the latest hard copy tonight so can have one final meeting with my direct reports to get final confirmation for East Power seating.	Actionable
Please assist accounts department in meeting collection targets.	Actionable
Her phone number is 713-853-7107.	Non-Actionable
Cindy Cicchetti	Non-Actionable
Inclusion of Sitara physical deals into the TDS position manager and deal ticker.	Non-Actionable
Make sure Enron and Oxy had project team in place asap and the resources are committed to do world class job on the January 29 submission and the 29th could be the end of the tournament.	Actionable
01:00 PM	Non-Actionable
Please review the attachment and let's discuss for the best results.	Actionable
Work with the Bush transition team to make sure that someone from the new administration is focused on the issue.	Actionable
Please let us know the changes and what the new allocation is.	Actionable
Please nominate the following volumes baseload for the rest of March starting Brian Perrone agree upon.	Actionable
Phillip	Non-Actionable
End: 10/03/2000	Non-Actionable
Please check with GMT and limit him to this project.	Actionable
This is the best project in terms of risk and reward that wehave uncovered to date in the Austin market.	Non-Actionable
Please set up reserve for this amount in March 2001 as this will be offset by an unbudgeted market support payment to Southwest Gas Corporation in December 2001 of $142,000.	Actionable
Please let me have your comments at your earliest convenience.	Actionable
Inclusion of Sitara physical deals into the TDS position manager and deal ticker.	Non-Actionable
NO LATER THAN CLOSE OF BUSINESS Thursday, September 14.	Non-Actionable
Please return these surveys by end of day Wednesday, April 5th.	Actionable
Please prepare by reviewing this document and bring copy with you on the 11th.	Actionable
If so, when?	Non-Actionable
Please refer calls from the trade press and other media inquiries to the Public Relations group.	Actionable
Take good notes on the questions that come up when speaking with Mark.	Actionable
Please let me know ASAP, Brenda Herod would like this resolved today or not.	Actionable
Please include in your written request the mid number or map of the proposed location where you will be requesting to install compression.	Actionable
Make sure you include your Alaska Airlines Mileage Plan number to qualify for this promotion.	Actionable
Populate the attached worksheets on Stack Website for East, West Financial Gas Trader Access and return to me once complete.	Actionable
Please send this to the appropriate folks at Squire Sanders today.	Actionable
Please coordinate with other departments and investigate accidents and indentify root cause of damage.	Actionable
(Invited)	Non-Actionable
Please check on these invoices.	Actionable
I would like to use some form of internet basedreporting.	Non-Actionable
To make it work, either push the payment schedule back, or move the unit delivery date forward.	Actionable
Also, please find out who the releasing shipper is and the primary receipt and delivery points.	Actionable
Forwarded by Phillip K Allen/HOU/ECT on 09/08/2000	Non-Actionable
Coordinate with business and technology teams business analysts and developers in the next meeting.	Actionable
The City shut down the project for a week and it tookanother week to get every thing back on tract.	Non-Actionable
David, Please change the date on the draft so that we won't confuse it with the prior drafts.	Actionable
Please check with Vincent's supervisor on modifying this for the job description.	Actionable
Fortunately, it looks asif she will be ok in the long run.	Non-Actionable
Lysa, make sure Paul gets this info.	Actionable
Also, to reiterate that the goals of this project is a project plan on consolidate physical/financial positions and transport trade capture.	Non-Actionable
I understand you review the trades submitted for outliers.	Non-Actionable
Go ahead and make the changes to the report before next meeting.	Actionable
>	Non-Actionable
I guess I was expecting something that would be an  exhibit to a recordable document or something a little more exact, or  rather?sort of a contract.?	Non-Actionable
_	Non-Actionable
Joe Terry, please check with all the teams today to ensure they have talked with their customers about the scheduled quantities reports.	Actionable
Always check with someone from UNIFY to make sure no one used these deals for anything in UNIFY.	Actionable
Please start the deliveries on the 10th and inform to all.	Actionable
Therefore, your feedback is critical.	Non-Actionable
Please let everyone on this mailing list know once the changes have been made.	Actionable
Please contact me regarding the status of this progress and what needs to happen to expedite resolution to paragraph one.	Actionable
Brenda, I checked my records and I mailed check #1178 for the normal amount on August 28th.	Non-Actionable
Allan Severude/HOU/ECT	Non-Actionable
Hunter S Shively -	Non-Actionable
Michael Etringer	Non-Actionable
please utilize me as resource for any PowerPoint presentations and data gathering that you may need done.	Actionable
Description:	Non-Actionable
Develop web pages and tools for Lynda com website with HTML JavaScript and CSS.	Actionable
Please check out each of the above web sites and let me know what changes you are planning to do.	Actionable
This meeting repeats	Non-Actionable
Andy, Please assign user name to Ran	Actionable
Phillip, please approve Mike Grigsby for Bloomberg.	Actionable
Please let us know your schedule to arrange for the conference.	Actionable
that	Non-Actionable
>	Non-Actionable
Ability to handle volatility skew and correlations.	Non-Actionable
>	Non-Actionable
Although the meeting with Keith, on Wednesday,  was informative the solution of creating a infinitely dynamic consolidated position screen, will be extremely difficult and time consuming.	Non-Actionable
Get Janet's signature on the permit application.	Actionable
Meeting Dates:	Non-Actionable
Subject:	Non-Actionable
The General Partner owns 1% of the project and carries theliability of construction.	Non-Actionable
Please set up meeting with Steve Kean to discuss expert finder asap on Thursday.	Actionable
Please review the Comments tab and resolve the major issues with in a week.	Actionable
Angela, please pick the 29th or 30th based on JLG's schedule and send to Tracy about the schedule.	Actionable
Sarah Novosel, please review the attached draft Enron comments in response to the San Diego request for natural gas priority	Actionable
If there are any other questions or information requirements, let me know.	Non-Actionable
Please see Technical Bulletin from day ahead external transactions.	Actionable
Just send the updated documents through this link before midnight, Pacific Time, on Friday, November 24th.	Actionable
verify that sean or diana did both of these deals twice.	Actionable
Provide more reliable and efficient power with lower emissions and noise than only require the simplest of gases and throw off only water and heat as hydrogen and oxygen, separated by catalyst.	Actionable
Please check it out and let me know what the deal numbers are for this month and prepare a document also.	Actionable
Please coordinate and support other developers to define solutions ASAP.	Actionable
Test the integrity and functionality of the system and related processes including credit, risk, legal, operations, etc.	Actionable
Be ready for us to bill out on Monday.	Actionable
Retrofit some of the reservoir's pumps to produce electricity.	Actionable
Scott Mills/HOU/ECT	Non-Actionable
This is the best project in terms of risk and reward that wehave uncovered to date in the Austin market.	Non-Actionable
03:30 PM	Non-Actionable
Please email me back to confirm the meeting time.	Actionable
Please identify business initiatives and improvements.	Actionable
_	Non-Actionable
Bookkeeping procedures to record actual expenses?	Non-Actionable
Help SoCalGas to terminate the Enron Agreements immediately should the court not accept the Agreements.	Actionable
Russ Severson/HOU/ECT	Non-Actionable
Get it done wirelessly at Infowave by tomorrow	Actionable
Sagewood Town Homes	Non-Actionable
/ECT@ECT, Monica	Non-Actionable
Please analyze and prepare revenue reports expense reports and other business transaction reports.	Actionable
For Exhibit T, please confirm that Enron has received all of the documents that it should have received by now.	Actionable
Several new studies we have looked at show that the rents for our duplexesand for these new units are going to be significantly higher, roughly $1.25per square foot if leased for the entire unit on a 12-month lease and	Non-Actionable
- utility.xls - utility.xls	Non-Actionable
>	Non-Actionable
From:     7:00 AM	Non-Actionable
It is Enron's belief that the trades at $4.70 and higher  were above market trades that should be excluded from the calculation of index.	Non-Actionable
What we need to focus on is the first bullet in Allan's list; the need for a single set of requirements.	Non-Actionable
Gas Physical/Financail Positions - Room 2537	Non-Actionable
, I think we still have the following issues:	Non-Actionable
The General Partner owns 1% of the project and carries theliability of construction.	Non-Actionable
What we need to focus on is the first bullet in Allan's list; the need for a single set of requirements.	Non-Actionable
Provide funds to support comprehensive residential conservation efforts in both owner occupied and rental properties.	Actionable
Lynn Weller, make sure someone is up to speed on your process that can represent you in the meeting.	Actionable
Phillip K Allen/HOU/ECT@ECT, Hunter S Shively/HOU/ECT@ECT, Scott Mills/HOU/ECT@ECT, Allan Severude/HOU/ECT@ECT, Jeffrey C Gossett/HOU/ECT@ECT, Colleen Sullivan/HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT, Jayant Krishnaswamy/HOU/ECT@ECT, Russell Long/HOU/ECT@ECTcc:	Non-Actionable
As we discussed yesterday, I am concerned	Non-Actionable
_	Non-Actionable
Jim, please find below the production schedule to update and review the regulatory component of the largest 50 curves 75 of net positions.	Actionable
Forwarded by Phillip K Allen/HOU/ECT on 10/03/2000	Non-Actionable
RC:  105891	Non-Actionable
Kim, remind me to check the Harry David's catalogue for something nifty.	Actionable
Phillip K Allen/HOU	Non-Actionable
Phillip,	Non-Actionable
If you experience technical problems, please call Dennis Ward atFSD Data Services, 713-942-8436.	Non-Actionable
MK Please see the attached and let me know your comments by Wednesday.	Actionable
This cost represents a bond for the completion ofimprovements that COA considers vital and these funds are released once theimprovements have been completed and accepted by COA.	Non-Actionable
Please check this list to see how you want your name to appear on application and make changes if neccessary.	Actionable
Please put together list of accomplishments for the first six months which can help us.	Actionable
Larry Lewter knows an expert in the field in San	Non-Actionable
From:  Airam Arteaga	Non-Actionable
cc:	Non-Actionable
Add O'neal Winfee and George Smith to the attendees list.	Actionable
Please clean and blackline copies of the revised agreement for your review, per my discussion with Kay yesterday.	Actionable
cc:	Non-Actionable
Please send me your Assistants name and number so can schedule time for you and Kevin for meeting next week.	Actionable
Please complete this questionnaire, which will shape SVMG's energy action agenda on your behalf.	Actionable
please check your roster carefully and make sure that the people on the list really are attending your course.	Actionable
Please check that Coral is not invoiced or paid on these deals and let me know by evening.	Actionable
>	Non-Actionable
Please ensure you log out at night in order to receive the upgrade.	Actionable
There is nothing like having your wife incapacitated to realizethe enormous number of things she does everyday.	Non-Actionable
Ralph's   What unit?	Non-Actionable
These professional expenses will be incurred overthe estimated 6 month design and approval period.	Non-Actionable
Forwarded by Phillip K Allen/HOU/ECT on 09/25/2000	Non-Actionable
cc:	Non-Actionable
Can you make sure the gas desk is included.	Non-Actionable
please find copy of volumes delivered to Columbia Energy Services for March thru March 9, 2000 and send it to me.	Actionable
check to resolve system-wide problems on market data servers as well as data delivery networks and let me know the status.	Actionable
Please use the rentroll 1215 file to input the correct information on all these tenants.	Actionable
Releases can be granted once every 90 days and you shouldexpect that the release would occur 6 months after the start of lotimprovement construction.	Non-Actionable
Colleen is setting up a meeting tomorrow to discuss the direction for transport.	Non-Actionable
Rika please assign this to our analysts covering emissions.	Actionable
Read the teaser for more information and guess the next step to continue.	Actionable
Please get the deal in the System this morning and let me know what the deal numbers are and will set up the arraignments and let you know what the Track ID's are.	Actionable
The meetings might be better if held in a round table discussion format.	Non-Actionable
Please circulate and get comments as necessary.	Actionable
Kay and Barbara, please let me know which one of you is working on this deal.	Actionable
Please let me know what steps we need to take at the West Desk to help complete this process.	Actionable
Handle billing and collection from subscribers.	Actionable
negotiate directly with tribes and state governments in the west for addtional gas supplies.	Actionable
Please check for dates that are not currently busy and call the members to get appintments.	Actionable
please find a team and pass this email on to the correct person who can resolve this.	Actionable
CREEKSIDE PROCEEDURESCB procedures for dealing with subs, vendors and professionals is not asformal as your question indicates.	Non-Actionable
Approximate delta changes between valuations using instantaneous gamma or a gamma grid.	Non-Actionable
Flying somewhere takes too much time.	Non-Actionable
"""George Richards"""	Non-Actionable
I believe there has been good communication between the teams, but now we need to have focus on the objectives we set out to solve.	Non-Actionable
please keep the spreadsheet updated while I'm out because I need to work on it once I am bak.	Actionable
On   09/28/2000 03:00:00 PM	Non-Actionable
Russ Severson/HOU/ECT@ECT	Non-Actionable
60+mpg	Non-Actionable
Get Team to Sacramento Get with Hertzberg to discuss the options Bev Hansen.	Actionable
login:	Non-Actionable
I will follow up with an email and phone call about Cherry Creek.	Non-Actionable
Executive Impact & Influence Program	Non-Actionable
As a priority, please resolve outstanding issues on client accounts.	Actionable
Once you have created an ID, please email me back with your ID so that can compile contact list for everyone on the floor.	Actionable
Your input (i.e., a Self assessment, Manager assessment,Direct Report assessment, or Peer/Colleague assessment) will be combinedwith the input of others and used by the program participant to develop anaction plan to improve his/her management styles and practices.	Non-Actionable
Regards,Nancy Hall	Non-Actionable
Please email your cost estimates when complete.	Actionable
Steffes, please add this to the agenda for Thursday.	Actionable
Allan Severude/HOU/ECT	Non-Actionable
Then last week I had to takemy wife  to emergency.	Non-Actionable
Please remember to get Jim Murnan the info.	Actionable
Hunter S Shively -	Non-Actionable
Status update:	Non-Actionable
Please participate and give group overview.	Actionable
Once you are satisfied with the agreement please let me know and will put together an executed copy.	Actionable
